Id,color1,color2,color3,color4,color5
0,[ 71.7586438   83.36920004 116.17209851],[105.69233097  76.75955386  65.45560263],[52.87753975 54.34699073 62.80224795],[147.62953255 133.70882481 135.42518567],[32.81100314 35.33211635 38.1699988 ],
1,[135.58910475 102.79714329  74.80722016],[192.21884573 188.56035424 181.6584915 ],[97.71686816 68.30687968 55.37605066],[164.45784551 138.81047977 109.08430898],[49.30971592 45.26623766 42.15544145],
2,[128.63529006 111.84305121 112.1240354 ],[173.23462028 145.27861504 130.40617218],[223.47269796 215.53819843 202.8229948 ],[203.2086008  181.31021422 167.92223124],[80.60176683 78.14622046 69.99708429],
3,[164.66090754 136.31757563 112.23747337],[70.12992667 62.94381086 57.33247492],[127.47650671  98.83811768  77.67475959],[197.5803869  193.16910659 184.93709561],[190.21323907 166.91187661  92.92987147],
4,[213.46170144 162.45397539 162.03090423],[166.99064109 127.89876774  89.46529403],[129.65941054 189.04745017 224.70686071],[87.70943273 66.82147135 40.31296048],[231.69453837 230.03915422 220.52048699],
5,[164.46807498 139.78732522 118.46443877],[33.38038416 35.68827203 38.3537859 ],[132.39749557 108.05448109  88.24919688],[79.58489081 89.28841235 75.97311299],[180.55335583 177.58255581 170.42603454],
6,[85.63271648 59.06040503 55.1478352 ],[187.80512698 160.64390128 134.11195898],[193.213788   188.93493248 172.38948018],[140.59089835  80.53354067  64.13550114],[161.7900682  118.22636935  95.19186914],
7,[211.75082114 206.33412959 203.96790087],[114.6410725   86.10321831  88.66858242],[156.16761921 127.95038244  91.87093747],[65.76118112 52.31518036 47.23454654],[181.66857361 161.40126077 111.80485361],
8,[84.17387403 76.78647148 67.43555443],[152.40830361 137.64950778 114.106777  ],[51.28929911 51.48598212 49.56233055],[186.34732124 182.71202403 166.38197706],[120.36107991 107.61529215  89.18443196],
9,[31.05562451 27.3379463  36.50502668],[152.02317307 130.75233681 115.95680602],[173.08955859 156.62798313 141.0985311 ],[217.48339428 213.36640138 203.84639707],[120.08553143 100.37020458  89.04842588],
10,[189.02598156 162.95135016 110.95609918],[183.18461767 181.75295051 175.15828622],[59.33116239 65.79943929 70.85421609],[239.77860052 236.43127658 229.93566069],[112.56872288 107.72322203 114.45440483],
11,[181.70662884 174.90003482 168.23703833],[119.02651567  97.86949316  80.55287023],[165.0512324  139.64920916 118.21926237],[66.29156055 47.37876526 37.39185036],[143.84370233  63.36657201  41.9412593 ],
12,[182.94902955 129.90167474  55.03690963],[40.22344957 37.44387692 35.03819303],[120.50128291  87.02822406  53.62728457],[177.44233359 140.13500388 118.48006367],[200.06983091 195.42314412 189.30696143],
13,[88.88167434 75.17915905 59.49996848],[161.84968717 145.62942809 118.16877423],[181.2957515  168.64319172 149.63822007],[131.32057905 120.16907421  86.46694918],[214.0585533  208.05390833 198.32924084],
14,[167.78390611 167.23797878 167.57769344],[19.44795047 19.64454874 20.17123504],[120.05599478 101.64299969  82.11978047],[134.10945899 136.65221005 137.80027337],[69.56920869 63.11944843 59.00055997],
15,[217.3439264  211.51071812 207.07249305],[158.54604871 139.73155547 122.74710779],[55.1740797  44.47181283 41.28636574],[181.59942513 167.85802541 149.56953711],[106.0111683   78.38013381  92.77009779],
16,[133.79552035 111.25687919  83.97592049],[170.85875073 146.64660607 121.5809708 ],[35.67329982 32.84975461 26.17906529],[215.4989154  205.2809927  191.36092646],[90.02500789 74.29816188 54.450142  ],
17,[135.61185783 120.64925889 115.27795782],[75.65853518 71.6739331  69.59630911],[177.28087767 156.94179946 152.46114244],[28.94810473 31.34812567 37.02574703],[210.1976258  202.89383277 193.65996973],
18,[153.13906378 122.26330439  85.3434069 ],[31.8503916  28.87522445 27.12458453],[175.92285276 169.89329627 163.69408982],[179.65419835 152.21428941 110.84293031],[101.18822593  77.26241102  55.590858  ],
19,[75.067947   62.66853542 50.27456795],[159.87947607 139.75997303 120.69014736],[199.9040443  197.57880517 189.77502937],[34.0643433  35.88984678 42.61003106],[112.34170621 100.69465159  96.02408392],
20,[161.00166473 146.60091813 135.92448166],[52.19055909 49.74564076 51.64920068],[193.48092417 192.95827778 187.88911559],[113.33012613  94.55211028  82.25711514],[112.36249381 125.66822374 140.62343903],
21,[ 96.36491702 114.59029472 124.79419552],[ 86.67968513 190.55610051 131.18159249],[48.95577305 61.37188167 65.79284716],[188.95767241 183.42423297 175.81664498],[159.73820138 153.88501153 143.83467662],
