Id,x,y,month,year,season
0,4482,2026,jan,2022,s,
1,3155,2737,jan,2022,s,
2,3153,2066,jan,2022,s,
3,4595,2737,jan,2022,s,
4,3674,1221,jan,2022,s,
5,3037,1793,jan,2022,s,
6,4839,1219,jan,2022,s,
7,2895,2143,jan,2022,s,
8,3533,2308,jan,2022,s,
9,4523,3079,jan,2022,s,
10,3444,1470,jan,2022,s,
11,4126,1790,jan,2022,s,
12,4026,1315,jan,2022,s,
13,3552,2743,jan,2022,s,
14,4981,1869,jan,2022,s,
15,3948,1411,jan,2022,s,
16,3551,2049,jan,2022,s,
17,2624,1350,jan,2022,s,
18,3819,2301,jan,2022,s,
19,4511,1854,jan,2022,s,
20,3626,1593,jan,2022,s,
21,1425,1313,jan,2022,s,
22,4817,817,jan,2022,s,
23,3728,2172,jan,2022,s,
24,4413,2139,jan,2022,s,
25,3099,2521,jan,2022,s,
26,3462,1604,jan,2022,s,
27,4214,1263,jan,2022,s,
28,2476,1964,jan,2022,s,
29,3800,1385,jan,2022,s,
30,2459,1271,jan,2022,s,
31,3310,1059,jan,2022,s,
32,3861,1071,jan,2022,s,
33,3213,2970,jan,2022,s,
34,3413,1573,jan,2022,s,
35,3944,1461,jan,2022,s,
36,3903,1371,jan,2022,s,
37,3535,2058,jan,2022,s,
38,3592,1847,jan,2022,s,
39,4509,1308,jan,2022,s,
40,2169,1071,jan,2022,s,
41,3698,1257,jan,2022,s,
42,3186,2422,jan,2022,s,
43,2678,1481,jan,2022,s,
44,4077,1424,jan,2022,s,
45,2629,1737,jan,2022,s,
46,3762,1807,jan,2022,s,
47,2095,1515,jan,2022,s,
48,3446,2068,jan,2022,s,
49,3751,2015,jan,2022,s,
50,1826,741,jan,2022,s,
51,1297,1099,jan,2022,s,
52,3493,2683,jan,2022,s,
53,2276,1758,jan,2022,s,
54,3815,2302,jan,2022,s,
55,2963,1948,jan,2022,s,
56,3140,1863,jan,2022,s,
57,1644,1204,jan,2022,s,
58,2609,1554,jan,2022,s,
59,3357,2227,jan,2022,s,
60,3242,1787,jan,2022,s,
61,3754,1999,jan,2022,s,
62,3278,1514,jan,2022,s,
63,3438,1632,jan,2022,s,
64,3488,2173,jan,2022,s,
65,2139,2646,jan,2022,s,
66,4247,2505,jan,2022,s,
67,3155,1063,jan,2022,s,
68,3843,2345,jan,2022,s,
69,3890,1595,jan,2022,s,
70,3258,3082,jan,2022,s,
71,3351,3298,jan,2022,s,
72,3241,1208,jan,2022,s,
73,775,359,jan,2022,s,
74,2928,1053,jan,2022,s,
75,4059,1619,jan,2022,s,
76,4616,2133,jan,2022,s,
77,3581,2252,jan,2022,s,
78,3263,1760,jan,2022,s,
79,4364,1693,jan,2022,s,
80,3726,1921,jan,2022,s,
81,2857,741,jan,2022,s,
82,3873,2253,jan,2022,s,
83,3667,2040,jan,2022,s,
84,3171,1977,jan,2022,s,
85,4255,2355,jan,2022,s,
86,4189,1491,jan,2022,s,
87,2353,1841,jan,2022,s,
88,3735,1380,jan,2022,s,
89,3445,1124,jan,2022,s,
90,3658,1169,jan,2022,s,
91,3215,2582,jan,2022,s,
92,4432,1599,jan,2022,s,
93,4349,3373,jan,2022,s,
94,3753,2043,jan,2022,s,
95,3721,2354,jan,2022,s,
96,3815,1383,jan,2022,s,
97,3943,1241,jan,2022,s,
98,3481,1513,jan,2022,s,
99,2054,1290,jan,2022,s,
100,3273,2257,jan,2022,s,
101,3239,2272,jan,2022,s,
102,3607,2165,jan,2022,s,
103,2354,1706,jan,2022,s,
104,3091,2416,jan,2022,s,
105,3783,2441,jan,2022,s,
106,3708,2223,jan,2022,s,
107,3913,813,jan,2022,s,
108,3465,1439,jan,2022,s,
109,3447,1624,jan,2022,s,
110,3136,1457,jan,2022,s,
111,1731,741,jan,2022,s,
112,3177,2437,jan,2022,s,
113,4055,2495,jan,2022,s,
114,3331,1070,jan,2022,s,
115,2074,876,jan,2022,s,
116,2770,1954,jan,2022,s,
117,3711,2301,jan,2022,s,
118,4180,2011,jan,2022,s,
119,3159,769,jan,2022,s,
120,2541,944,jan,2022,s,
121,2745,1052,jan,2022,s,
122,1523,718,jan,2022,s,
123,3728,1941,jan,2022,s,
124,4491,3057,jan,2022,s,
125,3159,3141,jan,2022,s,
126,4582,1541,jan,2022,s,
127,1951,1174,jan,2022,s,
128,4469,1158,jan,2022,s,
129,4914,1464,jan,2022,s,
130,954,183,jan,2022,s,
131,2378,583,jan,2022,s,
132,1517,357,jan,2022,s,
133,4358,3228,jan,2022,s,
134,4592,3405,jan,2022,s,
135,4359,2792,jan,2022,s,
136,3833,1177,jan,2022,s,
137,3707,2999,jan,2022,s,
138,4836,2792,jan,2022,s,
139,4577,2775,jan,2022,s,
140,3970,2200,jan,2022,s,
141,4203,1952,jan,2022,s,
142,5186,2844,jan,2022,s,
143,4504,3293,jan,2022,s,
144,4937,2367,jan,2022,s,
145,4930,1262,jan,2022,s,
146,4656,3416,jan,2022,s,
147,4718,1412,jan,2022,s,
148,3812,2019,jan,2022,s,
149,4958,1830,jan,2022,s,
150,2078,1652,jan,2022,s,
151,5027,3884,jan,2022,s,
152,3679,2565,jan,2022,s,
153,3700,1801,jan,2022,s,
154,1313,503,jan,2022,s,
155,4260,3196,jan,2022,s,
156,2726,3117,jan,2022,s,
157,4412,3647,jan,2022,s,
158,4698,3470,jan,2022,s,
159,3692,2329,jan,2022,s,
160,4760,2270,jan,2022,s,
